[0,0,1,2,3,3,4,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23]
[0,45,30,15,0,45,30,0,30,0,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30,50,10,30]
[0,0,1,2,3,3,4,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23]
[2,47,32,17,2,47,32,2,32,2,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32,52,12,32]
[0,0,1,2,3,3,4,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23]
[3,48,33,18,3,48,33,3,33,3,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33]
[0,0,1,2,3,3,4,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23]
[6,51,36,21,6,51,36,6,36,6,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36]
[0,0,1,2,3,3,4,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23]
[8,53,38,23,8,53,38,8,38,8,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38,58,18,38]
[0,0,1,2,3,3,4,5,5,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23]
[10,55,40,25,10,55,40,10,40,10,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40,0,20,40]
[0,0,1,2,3,3,4,5,5,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23]
[12,57,42,27,12,57,42,12,42,12,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42,2,22,42]
[0,1,1,2,3,4,4,5,5,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23]
[16,1,46,31,16,1,46,16,46,16,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46,6,26,46]
[0,1,1,2,3,4,4,5,5,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23]
[18,3,48,33,18,3,48,18,48,18,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48,8,28,48]
[0,1,1,2,3,4,4,5,5,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23]
[23,8,53,38,23,8,53,23,53,23,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53,13,33,53]
[99,99,99,99,99,99,4,5,5,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23]
[99,99,99,99,99,99,55,25,55,25,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55,15,35,55]
[0,1,1,2,3,4,4,5,5,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23]
[26,11,56,41,26,11,56,26,56,26,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56,16,36,56]
[0,1,1,2,3,4,4,5,5,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23]
[27,12,57,42,27,12,57,27,57,27,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57,17,37,57]
