[0,1,1,2,3,4,4,5,6,6,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24,24]
[32,2,47,32,17,2,47,32,2,32,2,32,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18,33,48,3,18]
[0,0,1,2,3,3,4,5,5,6,6,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24,24]
[29,59,44,29,14,59,44,29,59,29,59,29,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15]
[0,0,1,2,3,3,4,5,5,6,6,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24]
[27,57,42,27,12,57,42,27,57,27,57,27,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13,28,43,58,13]
[0,0,1,2,3,3,4,5,5,6,6,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24]
[24,54,39,24,9,54,39,24,54,24,54,24,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10]
[0,0,1,2,3,3,4,5,5,6,6,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24]
[22,52,37,22,7,52,37,22,52,22,52,22,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8]
[0,0,1,2,3,3,4,5,5,6,6,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24]
[20,50,35,20,5,50,35,20,50,20,50,20,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6]
[0,0,1,2,3,3,4,5,5,6,6,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24]
[18,48,33,18,3,48,33,18,48,18,48,18,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4,19,34,49,4]
[0,0,1,2,3,3,4,5,5,6,6,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24]
[15,45,30,15,0,45,30,15,45,15,45,15,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1,16,31,46,1]
[0,0,1,2,2,3,4,5,5,6,6,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24]
[14,44,29,14,59,44,29,14,44,14,44,14,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0]
[0,0,1,2,2,3,4,5,5,6,6,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23]
[9,39,24,9,54,39,24,9,39,9,39,9,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55,10,25,40,55]
[0,99,99,99,99,99,4,5,5,6,6,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23]
[7,99,99,99,99,99,22,7,37,7,37,7,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53,8,23,38,53]
[0,0,1,2,2,3,4,5,5,6,6,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23]
[6,36,21,6,51,36,21,6,36,6,36,6,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52,7,22,37,52]
[0,0,1,2,2,3,4,5,5,6,6,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23]
[5,35,20,5,50,35,20,5,35,5,35,5,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51,6,21,36,51]
